concept,symbol
Gene_5604,MAP2K1
Gene_5605,MAP2K2
Gene_5606,MAP2K3
Gene_5607,MAP2K5
Gene_5608,MAP2K6
Gene_5609,MAP2K7
Gene_5610,EIF2AK2
Gene_5611,DNAJC3
Gene_5612,THAP12
Gene_5613,PRKX
Gene_5617,PRL
Gene_5618,PRLR
Gene_5619,PRM1
Gene_5620,PRM2
Gene_5621,PRNP
Gene_5623,PSPN
Gene_5624,PROC
Gene_5625,PRODH
Gene_5626,PROP1
Gene_5627,PROS1
Gene_5629,PROX1
Gene_5630,PRPH
Gene_5631,PRPS1
Gene_5634,PRPS2
Gene_5635,PRPSAP1
Gene_5636,PRPSAP2
Gene_5638,PRRG1
Gene_5639,PRRG2
Gene_5641,LGMN
Gene_5644,PRSS1
Gene_5645,PRSS2
Gene_5646,PRSS3
Gene_5648,MASP1
Gene_5649,RELN
Gene_5650,KLK7
Gene_5651,TMPRSS15
Gene_5652,PRSS8
Gene_5653,KLK6
Gene_5654,HTRA1
Gene_5655,KLK10
Gene_5657,PRTN3
Gene_5660,PSAP
Gene_5662,PSD
Gene_5663,PSEN1
Gene_5664,PSEN2
Gene_5669,PSG1
Gene_5670,PSG2
Gene_5671,PSG3
Gene_5672,PSG4
Gene_5673,PSG5
Gene_5675,PSG6
Gene_5676,PSG7
Gene_5678,PSG9
Gene_5680,PSG11
Gene_5681,PSKH1
Gene_5682,PSMA1
Gene_5683,PSMA2
Gene_5684,PSMA3
Gene_5685,PSMA4
Gene_5686,PSMA5
Gene_5687,PSMA6
Gene_5688,PSMA7
Gene_5689,PSMB1
Gene_5690,PSMB2
Gene_5691,PSMB3
Gene_5692,PSMB4
Gene_5693,PSMB5
Gene_5694,PSMB6
Gene_5695,PSMB7
Gene_5696,PSMB8
Gene_5697,PYY
Gene_5698,PSMB9
Gene_5699,PSMB10
Gene_5700,PSMC1
Gene_5701,PSMC2
Gene_5702,PSMC3
Gene_5704,PSMC4
Gene_5705,PSMC5
Gene_5706,PSMC6
Gene_5707,PSMD1
Gene_5708,PSMD2
Gene_5709,PSMD3
Gene_5710,PSMD4
Gene_5711,PSMD5
Gene_5713,PSMD7
Gene_5714,PSMD8
Gene_5715,PSMD9
Gene_5716,PSMD10
Gene_5717,PSMD11
Gene_5718,PSMD12
Gene_5719,PSMD13
Gene_5720,PSME1
Gene_5721,PSME2
Gene_5723,PSPH
Gene_5724,PTAFR
Gene_5725,PTBP1
Gene_5726,TAS2R38
Gene_5727,PTCH1
Gene_5728,PTEN
Gene_5729,PTGDR
Gene_5730,PTGDS
Gene_5731,PTGER1
Gene_5732,PTGER2
Gene_5733,PTGER3
Gene_5734,PTGER4
Gene_5737,PTGFR
Gene_5738,PTGFRN
Gene_5739,PTGIR
Gene_5740,PTGIS
Gene_5741,PTH
Gene_5742,PTGS1
Gene_5743,PTGS2
Gene_5744,PTHLH
Gene_5745,PTH1R
Gene_5746,PTH2R
Gene_5747,PTK2
Gene_5753,PTK6
Gene_5754,PTK7
Gene_5756,TWF1
Gene_5757,PTMA
Gene_5763,PTMS
Gene_5764,PTN
Gene_5768,QSOX1
Gene_5770,PTPN1
Gene_5771,PTPN2
Gene_5774,PTPN3
Gene_5775,PTPN4
Gene_5777,PTPN6
Gene_5778,PTPN7
Gene_5780,PTPN9
Gene_5781,PTPN11
Gene_5782,PTPN12
Gene_5783,PTPN13
Gene_5784,PTPN14
Gene_5786,PTPRA
Gene_5787,PTPRB
Gene_5788,PTPRC
Gene_5789,PTPRD
Gene_5790,PTPRCAP
Gene_5791,PTPRE
Gene_5792,PTPRF
Gene_5793,PTPRG
Gene_5794,PTPRH
Gene_5795,PTPRJ
Gene_5796,PTPRK
Gene_5797,PTPRM
Gene_5798,PTPRN
Gene_5799,PTPRN2
Gene_5800,PTPRO
Gene_5801,PTPRR
Gene_5802,PTPRS
Gene_5803,PTPRZ1
Gene_5805,PTS
Gene_5806,PTX3
Gene_5810,RAD1
Gene_5813,PURA
Gene_5814,PURB
Gene_5816,PVALB
Gene_5817,PVR
Gene_5818,NECTIN1
Gene_5819,NECTIN2
Gene_5822,PWP2
Gene_5824,PEX19
Gene_5825,ABCD3
Gene_5826,ABCD4
Gene_5827,PXMP2
Gene_5828,PEX2
Gene_5829,PXN
Gene_5830,PEX5
Gene_5831,PYCR1
Gene_5832,ALDH18A1
Gene_5833,PCYT2
Gene_5834,PYGB
Gene_5836,PYGL
Gene_5837,PYGM
Gene_5858,PZP
Gene_5859,QARS1
Gene_5860,QDPR
Gene_5861,RAB1A
Gene_5862,RAB2A
Gene_5863,RGL2
Gene_5864,RAB3A
Gene_5865,RAB3B
Gene_5866,RAB3IL1
Gene_5867,RAB4A
Gene_5868,RAB5A
Gene_5869,RAB5B
Gene_5870,RAB6A
Gene_5871,MAP4K2
Gene_5872,RAB13
Gene_5873,RAB27A
Gene_5874,RAB27B
Gene_5875,RABGGTA
Gene_5876,RABGGTB
Gene_5877,RABIF
Gene_5878,RAB5C
Gene_5879,RAC1
Gene_5880,RAC2
Gene_5881,RAC3
Gene_5883,RAD9A
Gene_5884,RAD17
Gene_5885,RAD21
Gene_5886,RAD23A
Gene_5887,RAD23B
Gene_5888,RAD51
Gene_5889,RAD51C
Gene_5890,RAD51B
Gene_5891,MOK
Gene_5892,RAD51D
Gene_5893,RAD52
Gene_5894,RAF1
Gene_5896,RAG1
Gene_5897,RAG2
Gene_5898,RALA
Gene_5899,RALB
Gene_5900,RALGDS
Gene_5901,RAN
Gene_5902,RANBP1
Gene_5903,RANBP2
Gene_5905,RANGAP1
Gene_5906,RAP1A
Gene_5908,RAP1B
Gene_5909,RAP1GAP
Gene_5910,RAP1GDS1
Gene_5911,RAP2A
Gene_5912,RAP2B
Gene_5913,RAPSN
Gene_5914,RARA
Gene_5915,RARB
Gene_5916,RARG
Gene_5917,RARS1
Gene_5918,RARRES1
Gene_5919,RARRES2
Gene_5920,PLAAT4
Gene_5921,RASA1
Gene_5922,RASA2
Gene_5923,RASGRF1
Gene_5924,RASGRF2
Gene_5925,RB1
Gene_5926,ARID4A
Gene_5927,KDM5A
Gene_5928,RBBP4
Gene_5929,RBBP5
Gene_5930,RBBP6
Gene_5931,RBBP7
Gene_5932,RBBP8
Gene_5933,RBL1
Gene_5934,RBL2
Gene_5935,RBM3
Gene_5936,RBM4
Gene_5937,RBMS1
Gene_5939,RBMS2
Gene_5940,RBMY1A1
Gene_5947,RBP1
Gene_5948,RBP2
Gene_5949,RBP3
Gene_5950,RBP4
Gene_5954,RCN1
Gene_5955,RCN2
Gene_5956,OPN1LW
Gene_5957,RCVRN
Gene_5959,RDH5
Gene_5961,PRPH2
Gene_5962,RDX
Gene_5965,RECQL
Gene_5966,REL
Gene_5967,REG1A
Gene_5968,REG1B
Gene_5970,RELA
Gene_5971,RELB
Gene_5972,REN
Gene_5973,RENBP
Gene_5976,UPF1
Gene_5977,DPF2
Gene_5978,REST
Gene_5979,RET
Gene_5980,REV3L
Gene_5981,RFC1
Gene_5982,RFC2
Gene_5983,RFC3
Gene_5984,RFC4
Gene_5985,RFC5
Gene_5986,RFNG
Gene_5987,TRIM27
Gene_5988,RFPL1
Gene_5989,RFX1
Gene_5990,RFX2
Gene_5991,RFX3
Gene_5992,RFX4
Gene_5993,RFX5
Gene_5994,RFXAP
Gene_5995,RGR
Gene_5996,RGS1
Gene_5997,RGS2
Gene_5998,RGS3
Gene_5999,RGS4
Gene_6000,RGS7
Gene_6001,RGS10
Gene_6002,RGS12
Gene_6003,RGS13
Gene_6004,RGS16
Gene_6005,RHAG
Gene_6006,RHCE
Gene_6007,RHD
Gene_6009,RHEB
Gene_6010,RHO
Gene_6011,GRK1
Gene_6013,RLN1
Gene_6014,RIT2
Gene_6015,RING1
Gene_6016,RIT1
Gene_6017,RLBP1
Gene_6018,RLF
Gene_6019,RLN2
Gene_6023,RMRP
Gene_6029,RN7SL1
Gene_6035,RNASE1
Gene_6036,RNASE2
Gene_6037,RNASE3
Gene_6038,RNASE4
Gene_6039,RNASE6
Gene_6041,RNASEL
Gene_6043,SNORA63
Gene_6044,SNORA62
Gene_6045,RNF2
Gene_6046,BRD2
Gene_6047,RNF4
Gene_6048,RNF5
Gene_6049,RNF6
Gene_6050,RNH1
Gene_6051,RNPEP
Gene_6059,ABCE1
Gene_6060,RNU1-4
Gene_6066,RNU2-1
Gene_6079,SNORD15A
Gene_6080,SNORA73A
Gene_6082,SNORD20
Gene_6083,SNORD21
Gene_6084,RNY1
Gene_6085,RNY3
Gene_6086,RNY4
Gene_6090,RNY5
Gene_6091,ROBO1
Gene_6092,ROBO2
Gene_6093,ROCK1
Gene_6094,ROM1
Gene_6095,RORA
Gene_6096,RORB
Gene_6097,RORC
Gene_6098,ROS1
Gene_6100,RP9
Gene_6101,RP1
Gene_6102,RP2
Gene_6103,RPGR
Gene_6117,RPA1
Gene_6118,RPA2
Gene_6119,RPA3
Gene_6120,RPE
Gene_6121,RPE65
Gene_6122,RPL3
Gene_6123,RPL3L
Gene_6124,RPL4
Gene_6125,RPL5
Gene_6128,RPL6
Gene_6129,RPL7
Gene_6130,RPL7A
Gene_6132,RPL8
Gene_6133,RPL9
Gene_6134,RPL10
Gene_6135,RPL11
Gene_6136,RPL12
Gene_6137,RPL13
Gene_6138,RPL15
Gene_6139,RPL17
Gene_6141,RPL18
Gene_6142,RPL18A
Gene_6143,RPL19
Gene_6144,RPL21
Gene_6146,RPL22
Gene_6147,RPL23A
Gene_6150,MRPL23
Gene_6152,RPL24
Gene_6154,RPL26
Gene_6155,RPL27
Gene_6156,RPL30
Gene_6157,RPL27A
Gene_6158,RPL28
Gene_6159,RPL29
Gene_6160,RPL31
Gene_6161,RPL32
Gene_6164,RPL34
Gene_6165,RPL35A
Gene_6166,RPL36AL
Gene_6167,RPL37
Gene_6168,RPL37A
Gene_6169,RPL38
Gene_6170,RPL39
Gene_6171,RPL41
Gene_6173,RPL36A
Gene_6175,RPLP0
Gene_6176,RPLP1
Gene_6181,RPLP2
Gene_6182,MRPL12
Gene_6183,MRPS12
Gene_6184,RPN1
Gene_6185,RPN2
Gene_6187,RPS2
Gene_6188,RPS3
Gene_6189,RPS3A
Gene_6191,RPS4X
Gene_6192,RPS4Y1
Gene_6193,RPS5
Gene_6194,RPS6
Gene_6195,RPS6KA1
Gene_6196,RPS6KA2
Gene_6197,RPS6KA3
Gene_6198,RPS6KB1
Gene_6199,RPS6KB2
Gene_6201,RPS7
Gene_6202,RPS8
Gene_6203,RPS9
Gene_6204,RPS10
Gene_6205,RPS11
Gene_6206,RPS12
Gene_6207,RPS13
Gene_6208,RPS14
Gene_6209,RPS15
Gene_6210,RPS15A
Gene_6217,RPS16
Gene_6218,RPS17
Gene_6222,RPS18
Gene_6223,RPS19
Gene_6224,RPS20
Gene_6227,RPS21
Gene_6228,RPS23
Gene_6229,RPS24
Gene_6230,RPS25
Gene_6231,RPS26
Gene_6232,RPS27
Gene_6233,RPS27A
Gene_6234,RPS28
Gene_6235,RPS29
Gene_6236,RRAD
Gene_6237,RRAS
Gene_6238,RRBP1
Gene_6239,RREB1
Gene_6240,RRM1
Gene_6241,RRM2
Gene_6242,RTKN
Gene_6247,RS1
Gene_6248,RSC1A1
Gene_6249,CLIP1
Gene_6251,RSU1
Gene_6252,RTN1
Gene_6253,RTN2
Gene_6256,RXRA
Gene_6257,RXRB
Gene_6258,RXRG
Gene_6259,RYK
Gene_6261,RYR1
Gene_6262,RYR2
Gene_6263,RYR3
Gene_6271,S100A1
Gene_6272,SORT1
Gene_6273,S100A2
Gene_6274,S100A3
Gene_6275,S100A4
Gene_6276,S100A5
Gene_6277,S100A6
Gene_6278,S100A7
Gene_6279,S100A8
Gene_6280,S100A9
Gene_6281,S100A10
Gene_6282,S100A11
Gene_6283,S100A12
Gene_6284,S100A13
Gene_6285,S100B
Gene_6286,S100P
Gene_6288,SAA1
Gene_6289,SAA2
Gene_6291,SAA4
Gene_6293,VPS52
Gene_6294,SAFB
Gene_6295,SAG
Gene_6296,ACSM3
Gene_6297,SALL2
Gene_6299,SALL1
Gene_6300,MAPK12
Gene_6301,SARS1
Gene_6302,TSPAN31
Gene_6303,SAT1
Gene_6304,SATB1
Gene_6305,SBF1
Gene_6307,MSMO1
Gene_6309,SC5D
Gene_6310,ATXN1
Gene_6311,ATXN2
Gene_6314,ATXN7
Gene_6315,ATXN8OS
Gene_6317,SERPINB3
Gene_6318,SERPINB4
Gene_6319,SCD
Gene_6320,CLEC11A
Gene_6322,SCML1
Gene_6323,SCN1A
Gene_6324,SCN1B
Gene_6326,SCN2A
Gene_6327,SCN2B
Gene_6328,SCN3A
Gene_6329,SCN4A
Gene_6330,SCN4B
Gene_6331,SCN5A
Gene_6332,SCN7A
Gene_6334,SCN8A
Gene_6335,SCN9A
Gene_6336,SCN10A
Gene_6337,SCNN1A
Gene_6338,SCNN1B
Gene_6339,SCNN1D
Gene_6340,SCNN1G
Gene_6341,SCO1
Gene_6342,SCP2
Gene_6343,SCT
Gene_6344,SCTR
Gene_6345,SRL
Gene_6346,CCL1
Gene_6347,CCL2
Gene_6348,CCL3
Gene_6349,CCL3L1
Gene_6351,CCL4
Gene_6352,CCL5
Gene_6354,CCL7
Gene_6355,CCL8
Gene_6356,CCL11
Gene_6357,CCL13
Gene_6358,CCL14
Gene_6359,CCL15
Gene_6360,CCL16
Gene_6361,CCL17
Gene_6362,CCL18
Gene_6363,CCL19
Gene_6364,CCL20
Gene_6366,CCL21
Gene_6367,CCL22
Gene_6368,CCL23
Gene_6369,CCL24
Gene_6370,CCL25
Gene_6372,CXCL6
Gene_6373,CXCL11
Gene_6374,CXCL5
Gene_6375,XCL1
Gene_6376,CX3CL1
Gene_6382,SDC1
Gene_6383,SDC2
Gene_6385,SDC4
Gene_6386,SDCBP
Gene_6387,CXCL12
Gene_6388,SDF2
Gene_6389,SDHA
Gene_6390,SDHB
Gene_6391,SDHC
Gene_6392,SDHD
Gene_6396,SEC13
Gene_6397,SEC14L1
Gene_6398,SECTM1
Gene_6399,TRAPPC2
Gene_6400,SEL1L
Gene_6401,SELE
Gene_6402,SELL
Gene_6403,SELP
Gene_6404,SELPLG
Gene_6405,SEMA3F
Gene_6406,SEMG1
Gene_6407,SEMG2
Gene_6414,SELENOP
Gene_6415,SELENOW
Gene_6416,MAP2K4
Gene_6418,SET
Gene_6419,SETMAR
Gene_6421,SFPQ
Gene_6422,SFRP1
Gene_6423,SFRP2
Gene_6424,SFRP4
Gene_6425,SFRP5
Gene_6426,SRSF1
Gene_6427,SRSF2
Gene_6428,SRSF3
Gene_6429,SRSF4
Gene_6430,SRSF5
Gene_6431,SRSF6
Gene_6432,SRSF7
Gene_6433,SFSWAP
Gene_6434,TRA2B
Gene_6439,SFTPB
Gene_6440,SFTPC
Gene_6441,SFTPD
Gene_6442,SGCA
Gene_6443,SGCB
Gene_6444,SGCD
Gene_6445,SGCG
Gene_6446,SGK1
Gene_6447,SCG5
Gene_6448,SGSH
Gene_6449,SGTA
Gene_6450,SH3BGR
Gene_6451,SH3BGRL
Gene_6452,SH3BP2
Gene_6453,ITSN1
Gene_6455,SH3GL1
Gene_6456,SH3GL2
Gene_6457,SH3GL3
Gene_6461,SHB
Gene_6462,SHBG
Gene_6464,SHC1
Gene_6468,FBXW4
Gene_6469,SHH
Gene_6470,SHMT1
Gene_6472,SHMT2
Gene_6473,SHOX
Gene_6474,SHOX2
Gene_6476,SI
Gene_6477,SIAH1
Gene_6478,SIAH2
Gene_6480,ST6GAL1
Gene_6482,ST3GAL1
Gene_6483,ST3GAL2
Gene_6484,ST3GAL4
Gene_6487,ST3GAL3
Gene_6489,ST8SIA1
Gene_6490,PMEL
Gene_6491,STIL
Gene_6492,SIM1
Gene_6493,SIM2
Gene_6494,SIPA1
Gene_6495,SIX1
Gene_6496,SIX3
Gene_6497,SKI
Gene_6498,SKIL
Gene_6499,SKIC2
Gene_6500,SKP1
Gene_6502,SKP2
Gene_6503,SLA
Gene_6504,SLAMF1
Gene_6505,SLC1A1
Gene_6506,SLC1A2
Gene_6507,SLC1A3
Gene_6508,SLC4A3
Gene_6509,SLC1A4
Gene_6510,SLC1A5
Gene_6511,SLC1A6
Gene_6512,SLC1A7
Gene_6513,SLC2A1
Gene_6514,SLC2A2
Gene_6515,SLC2A3
Gene_6517,SLC2A4
Gene_6518,SLC2A5
Gene_6519,SLC3A1
Gene_6520,SLC3A2
Gene_6521,SLC4A1
Gene_6522,SLC4A2
Gene_6523,SLC5A1
Gene_6524,SLC5A2
Gene_6525,SMTN
Gene_6526,SLC5A3
Gene_6527,SLC5A4
Gene_6528,SLC5A5
Gene_6529,SLC6A1
Gene_6530,SLC6A2
Gene_6531,SLC6A3
Gene_6532,SLC6A4
Gene_6533,SLC6A6
Gene_6534,SLC6A7
Gene_6535,SLC6A8
Gene_6536,SLC6A9
Gene_6538,SLC6A11
Gene_6539,SLC6A12
Gene_6540,SLC6A13
Gene_6541,SLC7A1
Gene_6542,SLC7A2
Gene_6543,SLC8A2
Gene_6545,SLC7A4
Gene_6546,SLC8A1
Gene_6547,SLC8A3
Gene_6548,SLC9A1
Gene_6549,SLC9A2
Gene_6550,SLC9A3
Gene_6553,SLC9A5
Gene_6554,SLC10A1
Gene_6555,SLC10A2
Gene_6556,SLC11A1
Gene_6557,SLC12A1
Gene_6558,SLC12A2
Gene_6559,SLC12A3
Gene_6560,SLC12A4
Gene_6561,SLC13A1
Gene_6563,SLC14A1
Gene_6564,SLC15A1
Gene_6565,SLC15A2
Gene_6566,SLC16A1
Gene_6567,SLC16A2
Gene_6568,SLC17A1
Gene_6569,SLC34A1
Gene_6570,SLC18A1
Gene_6571,SLC18A2
Gene_6572,SLC18A3
Gene_6573,SLC19A1
Gene_6574,SLC20A1
Gene_6575,SLC20A2
Gene_6576,SLC25A1
Gene_6578,SLCO2A1
Gene_6579,SLCO1A2
Gene_6580,SLC22A1
Gene_6581,SLC22A3
Gene_6582,SLC22A2
Gene_6583,SLC22A4
Gene_6584,SLC22A5
Gene_6585,SLIT1
Gene_6586,SLIT3
Gene_6588,SLN
Gene_6590,SLPI
Gene_6591,SNAI2
Gene_6594,SMARCA1
Gene_6595,SMARCA2
Gene_6596,HLTF
Gene_6597,SMARCA4
Gene_6598,SMARCB1
Gene_6599,SMARCC1
Gene_6601,SMARCC2
Gene_6602,SMARCD1
Gene_6603,SMARCD2
Gene_6604,SMARCD3
Gene_6605,SMARCE1
Gene_6606,SMN1
Gene_6607,SMN2
Gene_6608,SMO
Gene_6609,SMPD1
Gene_6610,SMPD2
Gene_6611,SMS
Gene_6612,SUMO3
Gene_6613,SUMO2
Gene_6614,SIGLEC1
Gene_6615,SNAI1
Gene_6616,SNAP25
Gene_6617,SNAPC1
Gene_6618,SNAPC2
Gene_6619,SNAPC3
Gene_6620,SNCB
Gene_6621,SNAPC4
Gene_6622,SNCA
Gene_6623,SNCG
Gene_6624,FSCN1
Gene_6625,SNRNP70
Gene_6626,SNRPA
Gene_6627,SNRPA1
Gene_6628,SNRPB
Gene_6629,SNRPB2
Gene_6631,SNRPC
Gene_6632,SNRPD1
Gene_6633,SNRPD2
Gene_6634,SNRPD3
Gene_6635,SNRPE
Gene_6636,SNRPF
Gene_6637,SNRPG
Gene_6638,SNRPN
Gene_6640,SNTA1
Gene_6641,SNTB1
Gene_6642,SNX1
Gene_6643,SNX2
Gene_6645,SNTB2
Gene_6646,SOAT1
Gene_6647,SOD1
Gene_6648,SOD2
Gene_6649,SOD3
Gene_6650,CAPN15
Gene_6651,SON
Gene_6652,SORD
Gene_6653,SORL1
Gene_6654,SOS1
Gene_6655,SOS2
Gene_6656,SOX1
Gene_6657,SOX2
Gene_6658,SOX3
Gene_6659,SOX4
Gene_6660,SOX5
Gene_6662,SOX9
Gene_6663,SOX10
Gene_6664,SOX11
Gene_6665,SOX15
Gene_6666,SOX12
Gene_6667,SP1
Gene_6668,SP2
Gene_6670,SP3
Gene_6671,SP4
Gene_6672,SP100
Gene_6674,SPAG1
Gene_6675,UAP1
Gene_6676,SPAG4
Gene_6677,SPAM1
Gene_6678,SPARC
Gene_6683,SPAST
Gene_6687,SPG7
Gene_6688,SPI1
Gene_6689,SPIB
Gene_6690,SPINK1
Gene_6691,SPINK2
Gene_6692,SPINT1
Gene_6693,SPN
Gene_6694,SPP2
Gene_6695,SPOCK1
Gene_6696,SPP1
Gene_6697,SPR
Gene_6698,SPRR1A
Gene_6699,SPRR1B
Gene_6700,SPRR2A
Gene_6701,SPRR2B
Gene_6703,SPRR2D
Gene_6704,SPRR2E
Gene_6706,SPRR2G
Gene_6707,SPRR3
Gene_6708,SPTA1
Gene_6709,SPTAN1
Gene_6710,SPTB
Gene_6711,SPTBN1
Gene_6712,SPTBN2
Gene_6713,SQLE
Gene_6714,SRC
Gene_6715,SRD5A1
Gene_6716,SRD5A2
Gene_6717,SRI
Gene_6718,AKR1D1
Gene_6720,SREBF1
Gene_6721,SREBF2
Gene_6722,SRF
Gene_6723,SRM
Gene_6725,SRMS
Gene_6726,SRP9
Gene_6727,SRP14
Gene_6728,SRP19
Gene_6729,SRP54
Gene_6730,SRP68
Gene_6731,SRP72
Gene_6732,SRPK1
Gene_6733,SRPK2
Gene_6734,SRPRA
Gene_6736,SRY
Gene_6737,TRIM21
Gene_6738,RO60
Gene_6741,SSB
Gene_6742,SSBP1
Gene_6744,ITPRID2
Gene_6745,SSR1
Gene_6746,SSR2
Gene_6747,SSR3
Gene_6748,SSR4
Gene_6749,SSRP1
Gene_6750,SST
Gene_6751,SSTR1
Gene_6752,SSTR2
Gene_6753,SSTR3
Gene_6754,SSTR4
Gene_6755,SSTR5
Gene_6756,SSX1
Gene_6757,SSX2
Gene_6758,SSX5
Gene_6759,SSX4
Gene_6760,SS18
Gene_6764,DENND2B
Gene_6767,ST13
Gene_6768,ST14
Gene_6769,STAC
Gene_6770,STAR
Gene_6772,STAT1
Gene_6773,STAT2
Gene_6774,STAT3
Gene_6775,STAT4
Gene_6776,STAT5A
Gene_6777,STAT5B
Gene_6778,STAT6
Gene_6779,STATH
Gene_6780,STAU1
Gene_6781,STC1
Gene_6782,HSPA13
Gene_6783,SULT1E1
Gene_6785,ELOVL4
Gene_6786,STIM1
Gene_6787,NEK4
Gene_6788,STK3
Gene_6789,STK4
Gene_6790,AURKA
Gene_6792,CDKL5
Gene_6793,STK10
Gene_6794,STK11
Gene_6795,AURKC
Gene_6799,SULT1A2
Gene_6801,STRN
Gene_6804,STX1A
Gene_6809,STX3
Gene_6810,STX4
Gene_6811,STX5
Gene_6812,STXBP1
Gene_6813,STXBP2
Gene_6814,STXBP3
Gene_6815,STYX
Gene_6817,SULT1A1
Gene_6818,SULT1A3
Gene_6819,SULT1C2
Gene_6820,SULT2B1
Gene_6821,SUOX
Gene_6822,SULT2A1
Gene_6827,SUPT4H1
Gene_6829,SUPT5H
Gene_6830,SUPT6H
Gene_6832,SUPV3L1
Gene_6833,ABCC8
Gene_6834,SURF1
Gene_6835,SURF2
Gene_6836,SURF4
Gene_6837,MED22
Gene_6838,SURF6
Gene_6839,SUV39H1
Gene_6840,SVIL
Gene_6843,VAMP1
Gene_6844,VAMP2
Gene_6845,VAMP7
Gene_6846,XCL2
Gene_6847,SYCP1
Gene_6850,SYK
Gene_6853,SYN1
Gene_6854,SYN2
Gene_6855,SYP
Gene_6856,SYPL1
Gene_6857,SYT1
Gene_6860,SYT4
Gene_6861,SYT5
Gene_6862,TBXT
Gene_6863,TAC1
Gene_6865,TACR2
Gene_6866,TAC3
Gene_6867,TACC1
Gene_6868,ADAM17
Gene_6869,TACR1
Gene_6870,TACR3
Gene_6871,TADA2A
Gene_6872,TAF1
Gene_6873,TAF2
Gene_6874,TAF4
Gene_6875,TAF4B
Gene_6876,TAGLN
Gene_6877,TAF5
Gene_6878,TAF6
Gene_6879,TAF7
Gene_6880,TAF9
Gene_6881,TAF10
Gene_6882,TAF11
Gene_6883,TAF12
Gene_6884,TAF13
Gene_6885,MAP3K7
Gene_6886,TAL1
Gene_6887,TAL2
Gene_6888,TALDO1
Gene_6890,TAP1
Gene_6891,TAP2
Gene_6892,TAPBP
Gene_6894,TARBP1
Gene_6895,TARBP2
Gene_6897,TARS1
Gene_6898,TAT
Gene_6899,TBX1
Gene_6900,CNTN2
Gene_6901,TAFAZZIN
Gene_6902,TBCA
Gene_6903,TBCC
Gene_6904,TBCD
Gene_6905,TBCE
Gene_6906,SERPINA7
Gene_6907,TBL1X
Gene_6908,TBP
Gene_6909,TBX2
Gene_6910,TBX5
Gene_6911,TBX6
Gene_6913,TBX15
Gene_6915,TBXA2R
Gene_6916,TBXAS1
Gene_6917,TCEA1
Gene_6919,TCEA2
Gene_6920,TCEA3
Gene_6921,ELOC
Gene_6923,ELOB
Gene_6924,ELOA
Gene_6925,TCF4
Gene_6926,TBX3
Gene_6927,HNF1A
Gene_6928,HNF1B
Gene_6929,TCF3
Gene_6932,TCF7
Gene_6934,TCF7L2
Gene_6935,ZEB1
Gene_6936,GCFC2
Gene_6938,TCF12
Gene_6939,TCF15
Gene_6940,ZNF354A
Gene_6941,TCF19
Gene_6942,TCF20
Gene_6943,TCF21
Gene_6944,VPS72
Gene_6945,MLX
Gene_6947,TCN1
Gene_6948,TCN2
Gene_6949,TCOF1
Gene_6950,TCP1
Gene_6954,TCP11
Gene_6975,TECTB
Gene_6988,TCTA
Gene_6990,DYNLT3
Gene_6991,DYNLT2
Gene_6992,PPP1R11
Gene_6993,DYNLT1
Gene_6996,TDG
Gene_6997,CRIPTO
Gene_6998,CRIPTO3
Gene_6999,TDO2
Gene_7001,PRDX2
Gene_7003,TEAD1
Gene_7004,TEAD4
Gene_7005,TEAD3
Gene_7006,TEC
Gene_7007,TECTA
Gene_7008,TEF
Gene_7009,TMBIM6
Gene_7010,TEK
Gene_7011,TEP1
Gene_7012,TERC
Gene_7013,TERF1
Gene_7014,TERF2
Gene_7015,TERT
Gene_7016,TESK1
Gene_7018,TF
Gene_7019,TFAM
Gene_7020,TFAP2A
Gene_7021,TFAP2B
Gene_7022,TFAP2C
Gene_7023,TFAP4
Gene_7024,TFCP2
Gene_7025,NR2F1
Gene_7026,NR2F2
Gene_7027,TFDP1
Gene_7029,TFDP2
Gene_7030,TFE3
Gene_7031,TFF1
Gene_7032,TFF2
Gene_7033,TFF3
Gene_7035,TFPI
Gene_7036,TFR2
Gene_7037,TFRC
Gene_7038,TG
Gene_7039,TGFA
Gene_7040,TGFB1
Gene_7041,TGFB1I1
Gene_7042,TGFB2
Gene_7043,TGFB3
Gene_7044,LEFTY2
Gene_7045,TGFBI
Gene_7046,TGFBR1
Gene_7047,TGM4
Gene_7048,TGFBR2
Gene_7049,TGFBR3
Gene_7050,TGIF1
Gene_7051,TGM1
Gene_7052,TGM2
Gene_7053,TGM3
Gene_7054,TH
Gene_7056,THBD
Gene_7057,THBS1
Gene_7058,THBS2
Gene_7059,THBS3
Gene_7060,THBS4
Gene_7062,TCHH
Gene_7064,THOP1
Gene_7066,THPO
Gene_7067,THRA
Gene_7068,THRB
Gene_7069,THRSP
Gene_7070,THY1
Gene_7071,KLF10
Gene_7072,TIA1
Gene_7073,TIAL1
Gene_7074,TIAM1
Gene_7075,TIE1
Gene_7076,TIMP1
Gene_7077,TIMP2
Gene_7078,TIMP3
Gene_7079,TIMP4
Gene_7080,NKX2-1
Gene_7082,TJP1
Gene_7083,TK1
Gene_7084,TK2
Gene_7086,TKT
Gene_7087,ICAM5
Gene_7088,TLE1
Gene_7089,TLE2
Gene_7090,TLE3
Gene_7091,TLE4
Gene_7092,TLL1
Gene_7093,TLL2
Gene_7094,TLN1
Gene_7095,SEC62
Gene_7096,TLR1
Gene_7097,TLR2
Gene_7098,TLR3
Gene_7099,TLR4
