concept,symbol
Gene_388,RHOB
Gene_389,RHOC
Gene_390,RND3
Gene_391,RHOG
Gene_392,ARHGAP1
Gene_393,ARHGAP4
Gene_394,ARHGAP5
Gene_395,ARHGAP6
Gene_396,ARHGDIA
Gene_397,ARHGDIB
Gene_398,ARHGDIG
Gene_399,RHOH
Gene_400,ARL1
Gene_401,PHOX2A
Gene_402,ARL2
Gene_403,ARL3
Gene_405,ARNT
Gene_406,BMAL1
Gene_407,ARR3
Gene_408,ARRB1
Gene_409,ARRB2
Gene_410,ARSA
Gene_411,ARSB
Gene_412,STS
Gene_414,ARSD
Gene_415,ARSL
Gene_416,ARSF
Gene_417,ART1
Gene_419,ART3
Gene_420,ART4
Gene_421,ARVCF
Gene_427,ASAH1
Gene_429,ASCL1
Gene_430,ASCL2
Gene_432,ASGR1
Gene_433,ASGR2
Gene_434,ASIP
Gene_435,ASL
Gene_438,ASMT
Gene_439,GET3
Gene_440,ASNS
Gene_443,ASPA
Gene_444,ASPH
Gene_445,ASS1
Gene_460,ASTN1
Gene_462,SERPINC1
Gene_463,ZFHX3
Gene_466,ATF1
Gene_467,ATF3
Gene_468,ATF4
Gene_471,ATIC
Gene_472,ATM
Gene_473,RERE
Gene_474,ATOH1
Gene_475,ATOX1
Gene_476,ATP1A1
Gene_477,ATP1A2
Gene_478,ATP1A3
Gene_479,ATP12A
Gene_480,ATP1A4
Gene_481,ATP1B1
Gene_482,ATP1B2
Gene_483,ATP1B3
Gene_486,FXYD2
Gene_487,ATP2A1
Gene_488,ATP2A2
Gene_489,ATP2A3
Gene_490,ATP2B1
Gene_491,ATP2B2
Gene_492,ATP2B3
Gene_493,ATP2B4
Gene_495,ATP4A
Gene_496,ATP4B
Gene_498,ATP5F1A
Gene_501,ALDH7A1
Gene_506,ATP5F1B
Gene_509,ATP5F1C
Gene_513,ATP5F1D
Gene_514,ATP5F1E
Gene_515,ATP5PB
Gene_516,ATP5MC1
Gene_517,ATP5MC2
Gene_518,ATP5MC3
Gene_521,ATP5ME
Gene_522,ATP5PF
Gene_523,ATP6V1A
Gene_525,ATP6V1B1
Gene_526,ATP6V1B2
Gene_527,ATP6V0C
Gene_528,ATP6V1C1
Gene_529,ATP6V1E1
Gene_533,ATP6V0B
Gene_534,ATP6V1G2
Gene_535,ATP6V0A1
Gene_537,ATP6AP1
Gene_538,ATP7A
Gene_539,ATP5PO
Gene_540,ATP7B
Gene_545,ATR
Gene_546,ATRX
Gene_547,KIF1A
Gene_549,AUH
Gene_550,AUP1
Gene_551,AVP
Gene_552,AVPR1A
Gene_553,AVPR1B
Gene_554,AVPR2
Gene_558,AXL
Gene_563,AZGP1
Gene_566,AZU1
Gene_567,B2M
Gene_570,BAAT
Gene_571,BACH1
Gene_572,BAD
Gene_573,BAG1
Gene_574,BAGE
Gene_575,ADGRB1
Gene_576,ADGRB2
Gene_577,ADGRB3
Gene_578,BAK1
Gene_579,NKX3-2
Gene_580,BARD1
Gene_581,BAX
Gene_582,BBS1
Gene_583,BBS2
Gene_585,BBS4
Gene_586,BCAT1
Gene_587,BCAT2
Gene_590,BCHE
Gene_593,BCKDHA
Gene_594,BCKDHB
Gene_595,CCND1
Gene_596,BCL2
Gene_597,BCL2A1
Gene_598,BCL2L1
Gene_599,BCL2L2
Gene_602,BCL3
Gene_604,BCL6
Gene_605,BCL7A
Gene_607,BCL9
Gene_608,TNFRSF17
Gene_610,HCN2
Gene_611,OPN1SW
Gene_613,BCR
Gene_617,BCS1L
Gene_622,BDH1
Gene_623,BDKRB1
Gene_624,BDKRB2
Gene_627,BDNF
Gene_629,CFB
Gene_631,BFSP1
Gene_632,BGLAP
Gene_633,BGN
Gene_634,CEACAM1
Gene_635,BHMT
Gene_636,BICD1
Gene_637,BID
Gene_638,BIK
Gene_639,PRDM1
Gene_640,BLK
Gene_641,BLM
Gene_642,BLMH
Gene_643,CXCR5
Gene_644,BLVRA
Gene_645,BLVRB
Gene_646,BNC1
